pyroCb_id,pyroCb_date_utc,pyroCb_time_utc,pyroCb_longitude,pyroCb_latitude,country,region,satellite,wildfire_id,wildfire_ini_date_utc,wildfire_end_date_utc,length_days,wildfire_centroid_longitude,wildfire_centroid_latitude,extract_longitude,extract_latitude,extract_ini_date_utc,extract_end_date_utc,time_zone,length_fire
207,2021-07-16,150.0,-105.0,57.65,Canada,north central saskatchewan,GOES,,,,,,,-105.0,57.65,2021-07-13 06:00:00+00:00,2021-07-19 06:00:00+00:00,America/Regina,6
210,2021-07-15,,-104.5,53.9,Canada,Saskatchewan,GOES,,,,,,,-104.5,53.9,2021-07-12 06:00:00+00:00,2021-07-18 06:00:00+00:00,America/Regina,6
199,2021-07-11,100.0,-104.5,54.9,Canada,Saskatchewan,GOES,,,,,,,-104.5,54.9,2021-07-08 06:00:00+00:00,2021-07-14 06:00:00+00:00,America/Regina,6
261,2022-06-14,2236.0,-104.48,36.2,US,New Mexico,GOES,,,,,,,-104.48,36.2,2022-06-11 06:00:00+00:00,2022-06-17 06:00:00+00:00,America/Denver,6
205,2021-07-15,2000.0,-103.0,56.0,Canada,Northern Saskatchewan,GOES,,,,,,,-103.0,56.0,2021-07-12 06:00:00+00:00,2021-07-18 06:00:00+00:00,America/Regina,6
160,2018-05-18,1900.0,-100.99,35.0,US,Texas,GOES,20981943,2018-05-08,2018-05-19,11,-101.21203770453324,34.90563388546137,-101.21203770453324,34.90563388546137,2018-05-08 05:00:00+00:00,2018-05-19 05:00:00+00:00,America/Chicago,11
177,2021-05-13,2200.0,-99.1,51.8,Canada,Manitoba,GOES,,,,,,,-99.1,51.8,2021-05-10 05:00:00+00:00,2021-05-16 05:00:00+00:00,America/Winnipeg,6
201,2021-07-11,2130.0,-96.0,52.3,Canada,Manitoba,GOES,,,,,,,-96.0,52.3,2021-07-08 05:00:00+00:00,2021-07-14 05:00:00+00:00,America/Winnipeg,6
202,2021-07-11,2130.0,-95.0,50.8,Canada,Manitoba,GOES,,,,,,,-95.0,50.8,2021-07-08 05:00:00+00:00,2021-07-14 05:00:00+00:00,America/Rainy_River,6
242,2021-08-20,,-94.73,51.06,Canada,Western Ontario,GOES,,,,,,,-94.73,51.06,2021-08-17 05:00:00+00:00,2021-08-23 05:00:00+00:00,America/Rainy_River,6
208,2021-07-16,54.0,-94.7,50.5,Canada,Ontario,GOES,,,,,,,-94.7,50.5,2021-07-13 05:00:00+00:00,2021-07-19 05:00:00+00:00,America/Rainy_River,6
191,2021-07-05,1750.0,-94.6,51.4,Canada, Ontario Manitoba,GOES,,,,,,,-94.6,51.4,2021-07-02 05:00:00+00:00,2021-07-08 05:00:00+00:00,America/Rainy_River,6
200,2021-07-11,,-94.39,52.92,Canada,Manitoba,GOES,,,,,,,-94.39,52.92,2021-07-08 05:00:00+00:00,2021-07-14 05:00:00+00:00,America/Rainy_River,6
212,2021-07-18,2140.0,-94.04,51.38,Canada,"Manitoba, just east of lake winnipeg",GOES,,,,,,,-94.04,51.38,2021-07-15 05:00:00+00:00,2021-07-21 05:00:00+00:00,America/Rainy_River,6
211,2021-07-16,1740.0,-93.85,51.0,Canada,Western Ontario,GOES,,,,,,,-93.85,51.0,2021-07-13 05:00:00+00:00,2021-07-19 05:00:00+00:00,America/Rainy_River,6
203,2021-07-12,1950.0,-93.64,52.39,Canada,Northwestern Ontario,GOES,,,,,,,-93.64,52.39,2021-07-09 05:00:00+00:00,2021-07-15 05:00:00+00:00,America/Rainy_River,6
